Cien años de soledad, 123456, 4
1, P, 10-02-2023
2, P, 05-06-2023
3, P, 18-11-2023
4, P, 01-04-2024
Don Quijote de la Mancha, 654321, 5
1, P, 22-01-2023
2, D, 14-07-2023
3, P, 29-10-2023
4, D, 03-03-2024
5, D, 09-05-2024
La sombra del viento, 112233, 2
1, P, 01-09-2023
2, D, 06-02-2024
Cronica de una muerte anunciada, 334455, 3
1, D, 03-04-2023
2, D, 03-04-2023
3, P, 11-12-2023
El amor en los tiempos del cÃ³lera, 556677, 4
1, P, 15-05-2023
2, D, 20-08-2023
3, P, 27-01-2024
4, D, 14-04-2024
Rayuela, 778899, 1
1, D, 08-01-2024
Veinte poemas de amor y una canciÃ³n desesperada, 990011, 5
1, D, 19-07-2022
2, D, 02-11-2022
3, D, 07-03-2023
4, D, 16-09-2023
5, D, 25-02-2024
Como agua para chocolate, 223344, 2
1, P, 05-08-2023
2, D, 10-01-2024
La casa de los espÃ­ritus, 445566, 3
1, D, 21-06-2023
2, P, 04-10-2023
3, D, 13-03-2024
El Aleph, 667788, 4
1, D, 12-03-2023
2, P, 09-07-2023
3, D, 24-12-2023
4, P, 07-05-2024
Pedro PÃ¡ramo, 889900, 5
1, P, 01-01-2023
2, D, 06-04-2023
3, P, 11-08-2023
4, D, 19-11-2023
5, D, 26-04-2024
Ficciones, 102030, 2
1, D, 17-02-2024
2, P, 02-05-2024
La ciudad y los perros, 302010, 3
1, P, 28-09-2023
2, D, 09-01-2024
3, P, 15-04-2024
Boquitas pintadas, 405060, 1
1, D, 04-12-2023
La tÃ­a Julia y el escribidor, 605040, 4
1, D, 06-03-2023
2, P, 23-06-2023
3, D, 08-10-2023
4, P, 17-03-2024
El tÃºnel, 708090, 5
1, P,04-06-2025

2, P, 13-10-2022
3, P, 20-02-2023
4, P, 28-07-2023
5, P, 05-01-2024
Los de abajo, 908070, 2
1, P, 16-11-2023
2, P, 23-04-2024
La fiesta del Chivo, 135790, 3
1, D, 25-05-2023
2, P, 12-09-2023
3, D, 30-12-2023
Sobre hÃ©roes y tumbas, 246801, 4
1, D, 18-08-2022
2, D, 18-08-2022
3, P, 26-02-2023
4, D, 04-09-2023
El coronel no tiene quien le escriba, 975310, 5
1, P, 09-05-2023
2, D, 14-08-2023
3, P, 22-11-2023
4, D, 30-04-2024
5, P, 12-06-2024
